Wall time,Step,Value
1526896132.6399958,21,5.135976791381836
1526896132.8483624,22,1.7942845821380615
1526896134.628153,35,1.8703711032867432
1526896136.1983767,47,2.1952786445617676
1526896141.2034025,83,1.5912504196166992
1526896145.4494843,114,1.2273067235946655
1526896145.7866151,117,1.6451483964920044
1526896147.2288659,127,1.483811855316162
1526896148.4620261,136,1.3481630086898804
1526896150.8528483,154,1.498136281967163
1526896150.989105,155,1.453220009803772
1526896151.5369365,159,1.5196820497512817
1526896163.3139367,237,1.5386722087860107
1526896167.5692627,268,1.4508272409439087
1526896170.5204444,289,1.4017455577850342
1526896170.9948876,293,1.5306556224822998
1526896174.2816713,317,1.57982337474823
1526896175.1767576,323,1.3130723237991333
1526896176.8228357,335,1.4059165716171265
1526896179.766279,357,1.5885944366455078
1526896180.314936,361,1.5914149284362793
1526896184.6338925,392,1.425487995147705
1526896186.234108,401,1.241605520248413
1526896186.645193,404,1.2105937004089355
1526896188.564025,418,1.468887448310852
1526896197.8326957,485,1.2862284183502197
1526896200.7773347,507,1.4321010112762451
1526896204.3468509,533,1.537238597869873
1526896206.9525561,552,1.4475797414779663
1526896212.1617947,590,1.4738198518753052
1526896218.1654298,630,1.3033652305603027
1526896221.9356005,658,1.4873206615447998
1526896222.1460512,659,1.3248450756072998
1526896223.1072316,666,1.3324708938598633
1526896223.3831744,668,1.3249328136444092
1526896226.675381,692,1.3643250465393066
1526896227.1526856,696,1.4122010469436646
1526896230.182835,718,1.3829888105392456
1526896232.2412646,733,1.511730432510376
1526896236.1564827,761,1.1591519117355347
1526896238.141415,776,1.43086576461792
1526896239.2416646,784,1.3201675415039062
1526896240.3412323,792,1.395453929901123
1526896248.2813406,845,1.318922519683838
1526896251.2305148,867,1.5733704566955566
1526896251.440507,868,1.3223408460617065
1526896258.777016,922,1.4585492610931396
1526896260.2875314,933,1.3733165264129639
1526896261.0454197,938,1.1212141513824463
1526896263.791372,958,1.416168451309204
1526896264.954002,967,1.3714416027069092
1526896265.8508132,973,1.3614332675933838
1526896272.395916,1018,1.3967061042785645
1526896276.5164742,1048,1.3245198726654053
1526896282.7696254,1093,1.1758453845977783
1526896283.5920146,1099,1.19024658203125
1526896285.784869,1115,1.2910871505737305
1526896286.1965125,1118,1.1767652034759521
1526896287.9057808,1131,1.4281315803527832
1526896290.9985304,1153,1.2454502582550049
1526896296.6267653,1194,1.3140909671783447
1526896300.6392605,1218,1.408082365989685
1526896301.8093665,1226,1.3519291877746582
1526896301.9462037,1227,1.3687942028045654
1526896302.2873013,1230,1.434149146080017
1526896304.0069895,1242,1.257979393005371
1526896304.0721009,1243,1.3949763774871826
1526896304.897666,1249,1.389496922492981
1526896305.2451746,1251,1.3136825561523438
1526896307.2341676,1266,1.3790521621704102
1526896308.2661421,1273,1.2693878412246704
1526896317.734723,1342,1.335853934288025
1526896321.507383,1370,1.3242250680923462
1526896337.5367405,1483,1.3155487775802612
1526896342.4073706,1519,1.4718031883239746
1526896342.6179693,1520,1.4426493644714355
1526896346.596573,1549,1.4330577850341797
1526896350.8498902,1580,1.3540688753128052
1526896356.055183,1615,1.3705155849456787
1526896357.0165973,1622,1.4588264226913452
1526896357.1538937,1623,1.563130259513855
1526896357.2269547,1623,1.3922665119171143
1526896361.2137973,1652,1.3687771558761597
1526896373.216276,1740,1.241764783859253
1526896383.124986,1809,1.3938372135162354
1526896383.2630298,1810,1.3721933364868164
1526896386.6993387,1835,1.3494269847869873
1526896391.5856957,1870,1.2729146480560303
1526896395.1527288,1896,1.1932662725448608
1526896396.5919192,1907,1.3086116313934326
1526896397.0748513,1910,1.286378264427185
1526896404.4121401,1964,1.378418207168579
1526896406.3388731,1978,1.4613094329833984
1526896408.2608147,1992,1.3039460182189941
1526896412.861084,2018,1.400989055633545
1526896417.33207,2049,1.3755733966827393
1526896424.4077501,2098,1.397676706314087
1526896426.5982914,2113,1.1693891286849976
1526896426.9484968,2116,1.2804734706878662
1526896432.8199809,2158,1.3966468572616577
1526896432.9567418,2159,1.400085687637329
1526896438.601453,2200,1.4675337076187134
1526896445.6117258,2246,1.2095701694488525
1526896446.8318307,2254,1.2268694639205933
1526896448.3512907,2265,1.4160692691802979
1526896457.893329,2332,1.2942249774932861
1526896458.1792042,2334,1.3710410594940186
1526896458.744964,2338,1.2573115825653076
1526896466.610331,2394,1.30438232421875
1526896468.2910006,2401,1.3691959381103516
1526896470.899707,2420,1.3859832286834717
1526896471.727273,2426,1.187938928604126
1526896474.614156,2447,1.331573486328125
1526896479.9122512,2485,1.361554741859436
1526896485.3345559,2525,1.386430025100708
1526896485.4720008,2526,1.4323055744171143
1526896489.1787493,2553,1.2366325855255127
1526896491.1045578,2567,1.2988107204437256
1526896498.809871,2619,1.3860642910003662
1526896506.0868444,2672,1.1874034404754639
1526896507.0490127,2679,1.2203564643859863
1526896511.2353883,2710,1.332221508026123
1526896520.088159,2774,1.251821756362915
1526896529.4458535,2839,1.263181447982788
1526896532.4819353,2861,1.0537912845611572
1526896538.3097908,2904,1.368430256843567
1526896539.6815844,2914,1.4627959728240967
1526896542.1507006,2932,1.4905954599380493
1526896542.6347306,2935,1.418203353881836
1526896545.1328654,2953,1.2421543598175049
1526896546.570973,2964,1.2318875789642334
1526896550.9409192,2995,1.3836917877197266
1526896553.4523625,3005,1.427199363708496
1526896561.4363348,3060,1.126396894454956
1526896562.1324708,3065,1.0502431392669678
1526896566.9300277,3100,1.4740409851074219
1526896567.8286834,3106,1.1570250988006592
1526896568.2415848,3109,0.9697747826576233
1526896569.142508,3116,1.2846159934997559
1526896573.0671878,3144,1.168645977973938
1526896574.6467762,3156,1.2942912578582764
1526896579.0616736,3188,1.1734645366668701
1526896589.5452645,3260,1.3037261962890625
1526896593.2539737,3287,1.2196435928344727
1526896595.264216,3301,1.2010014057159424
1526896599.0252852,3328,1.0520539283752441
1526896601.7085748,3348,1.3595678806304932
1526896601.9182773,3349,1.2552831172943115
1526896602.7514544,3355,1.029770851135254
1526896604.932778,3371,1.4698269367218018
1526896613.6577797,3427,1.298844814300537
1526896621.5620801,3483,1.31722092628479
1526896623.3945365,3496,1.2795791625976562
1526896631.2422671,3553,1.5057275295257568
1526896631.7904928,3557,1.3411355018615723
1526896634.6105874,3577,1.0248701572418213
1526896641.3862395,3623,1.1645464897155762
1526896645.7836492,3655,1.1336767673492432
1526896649.086816,3679,1.2842121124267578
1526896650.662188,3691,1.0911576747894287
1526896655.3318465,3725,1.3035774230957031
1526896656.0169435,3730,1.3425967693328857
1526896656.2288277,3731,1.127040147781372
1526896657.253534,3739,1.2539582252502441
1526896659.5192564,3755,1.366684913635254
1526896673.0093114,3846,0.9829775094985962
1526896677.608614,3880,1.2554467916488647
1526896679.5317657,3894,1.3921144008636475
1526896680.2195096,3899,1.4241290092468262
1526896682.6386433,3916,1.0871641635894775
1526896693.6458547,3995,1.1250241994857788
1526896699.3082886,4033,1.168548345565796
1526896707.1862605,4090,1.3548121452331543
1526896710.0204742,4110,1.1623594760894775
1526896717.8442736,4167,1.194526195526123
1526896719.861284,4181,1.2441821098327637
1526896720.2055957,4184,1.341969609260559
