Wall time,Step,Value
1526688411.5605528,42,23490.9609375
1526688411.7744226,45,23626.275390625
1526688413.6383445,71,20621.896484375
1526688415.2851448,94,17705.978515625
1526688419.8723867,158,19958.484375
1526688420.523843,167,18630.1484375
1526688424.9822452,229,18400.61328125
1526688425.3432837,234,18275.634765625
1526688426.8552039,255,17353.3984375
1526688428.1498985,273,16429.05859375
1526688430.6712523,308,16488.447265625
1526688430.816036,310,15907.0234375
1526688431.3914237,318,15926.0576171875
1526688438.801127,421,16805.796875
1526688441.6076577,460,15271.5478515625
1526688442.6123874,474,15958.2509765625
1526688447.0751727,536,17684.4375
1526688450.1869895,579,16608.59375
1526688450.6894495,586,15252.1796875
1526688454.1575136,634,15034.8427734375
1526688455.0933454,647,14460.8466796875
1526688456.8262866,671,15186.7099609375
1526688459.9296575,714,14864.6806640625
1526688460.5097733,722,13788.33203125
1526688464.048559,771,15417.513671875
1526688465.060749,785,14414.0283203125
1526688466.293819,802,14185.6103515625
1526688466.7254777,808,13987.5341796875
1526688468.7481065,836,12732.6884765625
1526688476.6356518,945,12576.447265625
1526688478.5152736,971,12327.9228515625
1526688481.6272025,1014,12096.138671875
1526688485.3878536,1066,11963.6455078125
1526688488.139637,1104,11833.80859375
1526688493.637954,1180,11702.974609375
1526688499.499031,1261,11840.599609375
1526688503.478194,1316,11191.5888671875
1526688503.6962724,1319,11292.234375
1526688504.707979,1333,11511.13671875
1526688504.9963953,1337,11131.181640625
1526688508.4732938,1385,10399.525390625
1526688508.9785714,1392,10446.45703125
1526688512.1639528,1436,10803.853515625
1526688514.3322308,1466,10848.8291015625
1526688518.4539948,1523,10152.72265625
1526688520.5501735,1552,10927.796875
1526688521.7070577,1568,10731.5390625
1526688522.8603363,1584,9977.02734375
1526688526.9118505,1640,10638.486328125
1526688530.599314,1691,10056.66015625
1526688531.8984163,1709,10066.4375
1526688532.54987,1718,9773.4736328125
1526688533.7064126,1734,10160.087890625
1526688533.9223802,1737,10284.5517578125
1526688537.1072264,1781,11507.8359375
1526688541.6728373,1844,10274.498046875
1526688543.263305,1866,11330.0107421875
1526688543.481246,1869,10452.6474609375
1526688544.0585048,1877,10664.421875
1526688546.9499125,1917,9910.0634765625
1526688548.1829565,1934,11483.548828125
1526688549.1175015,1947,9929.8759765625
1526688555.879043,2036,10029.5859375
1526688560.2011676,2096,9886.064453125
1526688566.7575753,2187,9915.302734375
1526688567.620139,2199,9977.23046875
1526688569.9303217,2231,9523.306640625
1526688570.3673975,2237,9712.921875
1526688571.8076572,2257,9818.060546875
1526688572.1692119,2262,10064.962890625
1526688575.4192667,2307,9572.09375
1526688576.2865098,2319,9345.404296875
1526688578.8062806,2354,9726.8359375
1526688581.3294888,2389,9942.912109375
1526688581.4016695,2390,10224.283203125
1526688584.7214494,2436,9358.19921875
1526688585.9450014,2453,9384.091796875
1526688586.0883832,2455,9748.14453125
1526688586.450242,2460,9706.7587890625
1526688588.2594097,2485,9176.6796875
1526688588.3312142,2486,9584.1796875
1526688589.1960316,2498,9467.6396484375
1526688589.5544899,2503,9468.6484375
1526688591.6408212,2532,10088.3837890625
1526688592.7203228,2547,9065.408203125
1526688593.1552484,2553,9618.587890625
1526688602.6762707,2685,13529.455078125
1526688606.641585,2740,10776.810546875
1526688610.1768093,2789,9549.0546875
1526688617.8916059,2896,9524.904296875
1526688623.0113049,2967,9619.453125
1526688628.137202,3038,8895.818359375
1526688628.354488,3041,9452.3818359375
